season,crop,area,production
Rabi,Gram,80,133
Rabi,Groundnut,1118,2446
Rabi,Horse-gram,1939,1412
Rabi,Jowar,3,12
Rabi,Maize,1021,9308
Rabi,Moong(Green Gram),3276,1150
Rabi,Onion,157,2050
Rabi,Other  Rabi pulses,4293,3512
Rabi,Ragi,290,424
Rabi,Rice,7262,9383
Rabi,Sesamum,2270,484
Rabi,Urad,5187,2770
Whole Year,Banana,1182,18459
Whole Year,Cashewnut,31731,6821
Whole Year,Dry ginger,601,1613
Whole Year,Ginger,601,1613
Whole Year,Potato,96,1076
Whole Year,Sugarcane,38819,2221674
Whole Year,Sunflower,408,507
Whole Year,Sweet potato,121,1549
Whole Year,Tapioca,216,1422
Whole Year,Tobacco,495,1361
Whole Year,Turmeric,1935,4882
Kharif,Arhar/Tur,2719,1088
Kharif,Bajra,4638,5079
Kharif,Castor seed,2,1
Kharif,Cotton(lint),1390,2984
Kharif,Cowpea(Lobia),487,104
Kharif,Dry chillies,445,1692
Kharif,Groundnut,1982,2222
Kharif,Horse-gram,69,37
Kharif,Jowar,837,1800
Kharif,Maize,6359,25112
Kharif,Mesta,10,78
Kharif,Moong(Green Gram),1184,691
Kharif,Niger seed,6831,2541
Kharif,Onion,56,807
Kharif,Other Kharif pulses,833,583
Kharif,other oilseeds,1285,27441
Kharif,Ragi,24806,17761
Kharif,Rice,109505,166766
Kharif,Sesamum,4155,806
Kharif,Small millets,15993,9862
Kharif,Urad,1396,621
Rabi,Arhar/Tur,29,12
Rabi,Cowpea(Lobia),450,359
Rabi,Dry chillies,770,1339
Rabi,Gram,65,98
Rabi,Groundnut,788,1889
Rabi,Horse-gram,2067,1067
Rabi,Jowar,4,19
Rabi,Maize,1126,8737
Rabi,Moong(Green Gram),2766,1651
Rabi,Onion,116,2970
Rabi,Other  Rabi pulses,5092,3743
Rabi,other oilseeds,6831,2541
Rabi,Ragi,196,298
Rabi,Rice,2617,2973
Rabi,Sesamum,2497,387
Rabi,Urad,3904,2737
Whole Year,Banana,1355,22833
Whole Year,Cashewnut,33639,3621
Whole Year,Coconut,7054,72295470
Whole Year,Dry ginger,586,1448
Whole Year,Potato,46,462
Whole Year,Sugarcane,37862,2152876
Whole Year,Sunflower,547,568
Whole Year,Sweet potato,95,1222
Whole Year,Tapioca,176,2251
Whole Year,Tobacco,580,1847
Whole Year,Turmeric,1957,4450
Kharif,Arhar/Tur,1947,633
Kharif,Bajra,4140,3850
Kharif,Brinjal,986,8319
Kharif,Cabbage,191,5029
Kharif,Cashewnut,32074,7382
Kharif,Cotton(lint),3013,10191
Kharif,Cowpea(Lobia),410,107
Kharif,Dry chillies,505,2088
Kharif,Dry ginger,581,1642
Kharif,Groundnut,1583,1393
Kharif,Horse-gram,79,55
Kharif,Jowar,554,1469
Kharif,Lemon,4,29
Kharif,Maize,5837,12830
Kharif,Mango,12751,127051
Kharif,Moong(Green Gram),828,370
Kharif,Onion,55,1050
Kharif,Other Kharif pulses,1123,1437
Kharif,Papaya,95,10349
Kharif,Potato,27,475
Kharif,Ragi,21933,21692
Kharif,Rice,98718,141562
Kharif,Sapota,54,713
Kharif,Sesamum,3931,763
Kharif,Small millets,13405,7061
Kharif,Sugarcane,37322,2071560
Kharif,Sweet potato,52,501
Kharif,Tapioca,125,2302
Kharif,Tobacco,355,922
Kharif,Tomato,555,12116
Kharif,Turmeric,2500,8380
Kharif,Urad,1024,574
Rabi,Arhar/Tur,40,13
Rabi,Brinjal,633,5341
Rabi,Cabbage,66,1738
Rabi,Cowpea(Lobia),526,481
Rabi,Dry chillies,1003,2121
Rabi,Gram,43,78
Rabi,Groundnut,904,2197
Rabi,Horse-gram,1637,1007
Rabi,Jowar,6,24
Rabi,Maize,1126,7979
Rabi,Moong(Green Gram),3711,2505
Rabi,Niger seed,8255,5803
Rabi,Onion,123,2707
Rabi,Other  Rabi pulses,6552,3977
Rabi,Ragi,276,394
Rabi,Rice,5046,10274
Rabi,Sesamum,2385,878
Rabi,Sunflower,527,510
Rabi,Sweet potato,61,587
Rabi,Tobacco,115,260
Rabi,Tomato,793,5833
Rabi,Urad,5183,4876
Whole Year,Coconut,6116,99838000
Kharif,Arhar/Tur,1806,619
Kharif,Bajra,3179,2190
Kharif,Brinjal,852,5384
Kharif,Cabbage,180,3379
Kharif,Cashewnut,32321,9599
Kharif,Cotton(lint),2798,8196
Kharif,Cowpea(Lobia),391,203
Kharif,Dry chillies,378,1833
Kharif,Dry ginger,263,740
Kharif,Groundnut,1778,1963
Kharif,Horse-gram,46,27
Kharif,Jowar,551,963
Kharif,Lemon,8,64
Kharif,Maize,5988,7820
Kharif,Mango,13390,153771
Kharif,Moong(Green Gram),990,407
Kharif,Niger seed,21,11
Kharif,Onion,63,1186
Kharif,Other Kharif pulses,1606,1823
Kharif,other oilseeds,1652,36630
Kharif,Papaya,98,9594
Kharif,Ragi,22786,19300
Kharif,Rice,98637,171530
Kharif,Sapota,37,348
Kharif,Sesamum,2967,751
Kharif,Small millets,12290,6582
Kharif,Sugarcane,37603,2103656
Kharif,Sunflower,4,3
Kharif,Sweet potato,45,395
Kharif,Tapioca,89,1639
Kharif,Tobacco,331,1032
Kharif,Tomato,592,10584
Kharif,Turmeric,2910,8203
Kharif,Urad,1187,647
Rabi,Arhar/Tur,22,8
Rabi,Brinjal,635,4013
Rabi,Cabbage,97,1821
Rabi,Cowpea(Lobia),467,382
Rabi,Dry chillies,735,1420
Rabi,Gram,81,156
Rabi,Groundnut,810,2092
Rabi,Horse-gram,1019,500
Rabi,Jowar,12,55
Rabi,Maize,1248,9303
Rabi,Moong(Green Gram),4015,2509
Rabi,Niger seed,8691,4441
Rabi,Onion,161,2981
Rabi,Other Kharif pulses,9661,12559
Rabi,Ragi,308,442
Rabi,Rice,6759,13126
Rabi,Sesamum,3624,776
Rabi,Sunflower,246,275
Rabi,Sweet potato,52,456
Rabi,Tobacco,106,372
Rabi,Tomato,937,8857
Rabi,Urad,7385,5805
Whole Year,Banana,1409,27661
Whole Year,Cashewnut,32321,9599
Whole Year,Coconut,5999,76721000
Whole Year,Dry ginger,263,740
Whole Year,Potato,53,762
Whole Year,Sweet potato,97,851
Kharif,Arhar/Tur,1965,364
Kharif,Bajra,2395,2170
Kharif,Brinjal,964,4619
Kharif,Cabbage,143,120
Kharif,Cashewnut,29367,5638
Kharif,Castor seed,3,2
Kharif,Cotton(lint),2840,12510
Kharif,Cowpea(Lobia),415,116
Kharif,Dry chillies,394,2267
Kharif,Dry ginger,285,719
Kharif,Groundnut,1383,1481
Kharif,Jowar,392,583
Kharif,Lemon,5,31
Kharif,Maize,5894,9224
Kharif,Mango,13528,37229
Kharif,Moong(Green Gram),1008,676
Kharif,Onion,61,1120
Kharif,Other Kharif pulses,1518,2767
Kharif,other oilseeds,1907,46283
Kharif,Papaya,91,7164
Kharif,Potato,24,415
Kharif,Ragi,20880,19982
Kharif,Rice,98190,159755
Kharif,Sapota,85,711
Kharif,Sesamum,4039,1034
Kharif,Small millets,9627,5426
Kharif,Sugarcane,37535,1814054
Kharif,Sunflower,10,12
Kharif,Tobacco,248,774
Kharif,Tomato,507,7289
Kharif,Turmeric,2940,8270
Kharif,Urad,959,636
Rabi,Arhar/Tur,4,1
Rabi,Brinjal,737,3531
Rabi,Cabbage,88,74
Rabi,Cowpea(Lobia),374,117
Rabi,Dry chillies,601,1316
Rabi,Gram,87,168
Rabi,Groundnut,742,2413
Rabi,Horse-gram,1146,547
Rabi,Jowar,6,27
Rabi,Maize,1297,10411
Rabi,Moong(Green Gram),3670,3009
Rabi,Niger seed,7336,2355
Rabi,Onion,138,2438
Rabi,Other  Rabi pulses,10344,11740
Rabi,Potato,27,467
Rabi,Ragi,241,359
Rabi,Rice,7238,18052
Rabi,Sesamum,3227,597
Rabi,Sunflower,186,179
Rabi,Sweet potato,48,529
Rabi,Tobacco,113,340
Rabi,Tomato,975,13210
Rabi,Turmeric,3,8
Rabi,Urad,6257,3322
Whole Year,Coconut,7416,160779000
Whole Year,Rice,105428,177807
Kharif,Arhar/Tur,1600,400
Kharif,Bajra,4500,4600
Kharif,Cotton(lint),4200,10100
Kharif,Dry chillies,300,900
Kharif,Groundnut,63800,55200
Kharif,Jowar,600,300
Kharif,Korra,800,700
Kharif,Maize,500,800
Kharif,Mesta,60300,390200
Kharif,Moong(Green Gram),500,200
Kharif,Ragi,10000,11700
Kharif,Rice,130500,185600
Kharif,Samai,2000,1200
Kharif,Sesamum,7300,1700
Kharif,Small millets,1000,100
Kharif,Sugarcane,10000,601100
Kharif,Tobacco,1500,2300
Kharif,Urad,500,100
Rabi,Dry chillies,3300,5700
Rabi,Gram,100,100
Rabi,Groundnut,6300,7600
Rabi,Horse-gram,38700,14500
Rabi,Jowar,200,300
Rabi,Maize,1800,6800
Rabi,Moong(Green Gram),20800,4100
Rabi,Ragi,2300,3500
Rabi,Rice,1000,3200
Rabi,Sesamum,17200,1600
Rabi,Urad,11100,5300
Kharif,Arhar/Tur,1500,900
Kharif,Bajra,4100,5400
Kharif,Cotton(lint),13200,10400
Kharif,Dry chillies,300,900
Kharif,Groundnut,62300,56700
Kharif,Jowar,600,200
Kharif,Korra,800,600
Kharif,Maize,800,1700
Kharif,Mesta,49800,382200
Kharif,Moong(Green Gram),600,400
Kharif,Ragi,9200,12500
Kharif,Rice,133000,295600
Kharif,Samai,1900,1100
Kharif,Sesamum,5600,1000
Kharif,Small millets,2700,1800
Kharif,Urad,600,400
Rabi,Dry chillies,3100,6500
Rabi,Gram,100,300
Rabi,Groundnut,6500,6400
Rabi,Horse-gram,37200,7100
Rabi,Maize,1600,7900
Rabi,Moong(Green Gram),18700,4400
Rabi,Ragi,2600,5700
Rabi,Rice,3600,13300
Rabi,Sesamum,15500,1500
Rabi,Urad,11000,7200
Whole Year,Sugarcane,11600,720800
Whole Year,Tobacco,2000,3400
Kharif,Bajra,3910,3715
Kharif,Castor seed,3,1
Kharif,Cotton(lint),10494,17346
Kharif,Groundnut,67553,69107
Kharif,Jowar,361,92
Kharif,Maize,908,2580
Kharif,Masoor,1488,638
Kharif,Moong(Green Gram),379,269
Kharif,Niger seed,473,182
Kharif,Ragi,8439,9342
Kharif,Rice,132185,250846
Kharif,Sesamum,17449,2408
Kharif,Urad,406,248
Rabi,Gram,97,108
Rabi,Groundnut,5876,8444
Rabi,Horse-gram,35591,13560
Rabi,Jowar,34,14
Rabi,Linseed,473,182
Rabi,Maize,2217,10732
Rabi,Moong(Green Gram),19456,6323
Rabi,Ragi,2265,4129
Rabi,Rice,1985,6943
Rabi,Sesamum,4462,1151
Rabi,Urad,10854,7174
Whole Year,Dry chillies,3223,5320
Whole Year,Onion,555,9081
Whole Year,Sugarcane,11231,793278
Whole Year,Tobacco,296,297
Kharif,Arhar/Tur,1304,722
Kharif,Bajra,3619,4082
Kharif,Castor seed,2,1
Kharif,Cotton(lint),9874,18644
Kharif,Dry chillies,305,842
Kharif,Groundnut,55657,52540
Kharif,Jowar,541,201
Kharif,Korra,808,772
Kharif,Maize,1475,3841
Kharif,Mesta,58199,539957
Kharif,Moong(Green Gram),497,221
Kharif,Niger seed,510,252
Kharif,Onion,107,1493
Kharif,Ragi,8461,8571
Kharif,Rice,129907,214347
Kharif,Samai,3614,2330
Kharif,Sesamum,24814,6675
Kharif,Small millets,4422,3102
Kharif,Urad,329,19
Rabi,Dry chillies,2409,4970
Rabi,Gram,71,169
Rabi,Groundnut,4604,2868
Rabi,Horse-gram,25968,2934
Rabi,Jowar,17,15
Rabi,Maize,1810,9745
Rabi,Moong(Green Gram),14573,6470
Rabi,Onion,421,7401
Rabi,Other  Rabi pulses,20,10
Rabi,Ragi,1544,2327
Rabi,Rapeseed &Mustard,2,
Rabi,Rice,2163,5996
Rabi,Sesamum,3589,725
Rabi,Urad,7099,5708
Whole Year,Banana,5985,59183
Whole Year,Cashewnut,8266,1801
Whole Year,Coconut,2962,31704750
Whole Year,Sugarcane,10184,750054
Whole Year,Sweet potato,53,716
Whole Year,Tapioca,203,1567
Whole Year,Tobacco,1709,3987
Whole Year,Turmeric,33,148
Kharif,Arhar/Tur,1313,765
Kharif,Bajra,2724,2956
Kharif,Cotton(lint),15639,40845
Kharif,Dry chillies,228,826
Kharif,Groundnut,46758,36986
Kharif,Jowar,376,215
Kharif,Korra,701,526
Kharif,Maize,1311,3504
Kharif,Mesta,59501,541459
Kharif,Moong(Green Gram),369,178
Kharif,Niger seed,408,161
Kharif,Onion,112,1554
Kharif,Ragi,6914,6478
Kharif,Rice,106296,199624
Kharif,Samai,3520,1688
Kharif,Sesamum,24350,4261
Kharif,Small millets,4221,2214
Kharif,Urad,310,112
Rabi,Dry chillies,2341,3722
Rabi,Gram,61,114
Rabi,Groundnut,4688,5968
Rabi,Horse-gram,26871,12925
Rabi,Jowar,56,41
Rabi,Maize,3302,21374
Rabi,Moong(Green Gram),19742,6989
Rabi,Onion,408,6453
Rabi,Ragi,2172,3892
Rabi,Rice,3864,10085
Rabi,Sesamum,5277,1409
Rabi,Urad,12038,4683
Whole Year,Banana,6173,77495
Whole Year,Cashewnut,9138,2512
Whole Year,Coconut,3102,34298640
Whole Year,Sugarcane,10614,732143
Whole Year,Sweet potato,54,717
Whole Year,Tapioca,182,1506
Whole Year,Tobacco,1658,2694
Whole Year,Turmeric,33,143
Kharif,Arhar/Tur,1587,555
Kharif,Bajra,3090,2735
Kharif,Cotton(lint),12397,22023
Kharif,Dry chillies,300,593
Kharif,Groundnut,36766,29082
Kharif,Jowar,376,125
Kharif,Korra,1000,1000
Kharif,Maize,1990,1928
Kharif,Mesta,61520,502413
Kharif,Moong(Green Gram),513,77
Kharif,Niger seed,464,232
Kharif,Onion,130,1554
Kharif,Ragi,6909,5700
Kharif,Rice,93995,115426
Kharif,Sesamum,13975,1593
Kharif,Small millets,3658,1893
Kharif,Urad,447,23
Rabi,Dry chillies,2027,2461
Rabi,Gram,322,422
Rabi,Groundnut,2806,2660
Rabi,Horse-gram,22581,5126
Rabi,Jowar,20,16
Rabi,Maize,2817,19522
Rabi,Moong(Green Gram),12797,2483
Rabi,Onion,354,4457
Rabi,other oilseeds,707,877
Rabi,Ragi,1042,1211
Rabi,Rice,594,1558
Rabi,Sesamum,3864,811
Rabi,Urad,6986,1523
Whole Year,Arecanut,8,12
Whole Year,Banana,4684,97277
Whole Year,Beans & Mutter(Vegetable),419,2111
Whole Year,Bhindi,494,3243
Whole Year,Bottle Gourd,102,0
Whole Year,Brinjal,1167,17197
Whole Year,Cabbage,147,0
Whole Year,Cashewnut,10741,1335
Whole Year,Citrus Fruit,1,5
Whole Year,Coconut,3169,35663076
Whole Year,Cucumber,21,0
Whole Year,Dry ginger,8,13
Whole Year,Mango,34738,60502
Whole Year,Orange,49,879
Whole Year,Other Fresh Fruits,116,483
Whole Year,Other Vegetables,727,0
Whole Year,Papaya,8,1044
Whole Year,Pome Fruit,301,2280
Whole Year,Sugarcane,13400,579550
Whole Year,Sweet potato,44,475
Whole Year,Tapioca,226,1368
Whole Year,Tobacco,1577,3553
Whole Year,Tomato,605,4127
Whole Year,Turmeric,63,338
Kharif,Arhar/Tur,1871,791
Kharif,Bajra,1565,2038
Kharif,Castor seed,8,3
Kharif,Cotton(lint),19471,26801
Kharif,Dry chillies,235,1035
Kharif,Groundnut,42798,36079
Kharif,Jowar,256,757
Kharif,Korra,537,584
Kharif,Maize,4318,7410
Kharif,Mesta,46206,388387
Kharif,Moong(Green Gram),1309,712
Kharif,Niger seed,371,146
Kharif,Onion,105,1532
Kharif,Ragi,6710,9032
Kharif,Rice,108694,228366
Kharif,Samai,1250,521
Kharif,Sesamum,6785,1079
Kharif,Small millets,3364,2185
Kharif,Urad,1541,949
Rabi,Dry chillies,2081,2620
Rabi,Gram,178,319
Rabi,Groundnut,4266,5861
Rabi,Horse-gram,26889,11616
Rabi,Jowar,38,71
Rabi,Maize,7265,35591
Rabi,Moong(Green Gram),19958,6626
Rabi,Onion,290,3191
Rabi,other oilseeds,680,
Rabi,Ragi,2052,3587
Rabi,Rice,4382,10679
Rabi,Sesamum,6108,1185
Rabi,Urad,12120,3891
Whole Year,Arecanut,12,9
Whole Year,Banana,4645,106645
Whole Year,Beans & Mutter(Vegetable),456,3121
Whole Year,Bhindi,566,3898
Whole Year,Bottle Gourd,73,0
Whole Year,Brinjal,1195,19804
Whole Year,Cabbage,139,0
Whole Year,Cashewnut,11179,2996
Whole Year,Citrus Fruit,3,18
Whole Year,Coconut,3153,37285560
Whole Year,Cucumber,15,0
Whole Year,Dry ginger,8,23
Whole Year,Mango,35162,78804
Whole Year,Orange,41,619
Whole Year,Other Fresh Fruits,132,506
Whole Year,Other Vegetables,626,0
Whole Year,Papaya,2,182
Whole Year,Pome Fruit,287,2485
Whole Year,Sugarcane,13501,668907
Whole Year,Sweet potato,38,275
Whole Year,Tapioca,174,1092
Whole Year,Tobacco,1782,3796
Whole Year,Tomato,553,5329
Whole Year,Turmeric,46,284
Kharif,Arhar/Tur,1853,1227
Kharif,Bajra,1693,1297
Kharif,Castor seed,4,2
Kharif,Cotton(lint),22974,38650
Kharif,Dry chillies,254,1051
Kharif,Groundnut,45050,36445
Kharif,Jowar,308,165
Kharif,Maize,3796,17712
Kharif,Mesta,41747,374100
Kharif,Moong(Green Gram),876,326
Kharif,Niger seed,447,332
Kharif,Onion,114,1934
Kharif,Ragi,6096,7260
Kharif,Rice,125205,291352
Kharif,Sesamum,18766,2252
Kharif,Small millets,4187,2229
Kharif,Sunflower,2,2
Kharif,Urad,671,323
Rabi,Dry chillies,2157,3973
Rabi,Gram,99,151
Rabi,Groundnut,3618,2753
Rabi,Horse-gram,22482,6340
Rabi,Jowar,41,77
Rabi,Maize,4844,18228
Rabi,Moong(Green Gram),18247,4215
Rabi,Onion,305,5344
Rabi,Ragi,1070,1553
Rabi,Rice,2370,3979
Rabi,Sesamum,4325,1133
Rabi,Sunflower,2,2
Rabi,Urad,13099,4179
Whole Year,Banana,5591,136806
Whole Year,Cashewnut,11434,2445
Whole Year,Coconut,3084,36243114
Whole Year,Dry ginger,16,44
Whole Year,Sugarcane,15635,969636
Whole Year,Sweet potato,32,293
Whole Year,Tapioca,156,1138
Whole Year,Tobacco,1673,3565
Whole Year,Turmeric,35,283
Kharif,Arhar/Tur,1507,913
Kharif,Bajra,973,683
Kharif,Castor seed,8,3
Kharif,Cotton(lint),17734,13874
Kharif,Dry chillies,286,1199
Kharif,Groundnut,37883,36898
Kharif,Jowar,339,188
Kharif,Maize,3609,14970
Kharif,Mesta,38958,382005
Kharif,Moong(Green Gram),790,547
Kharif,Niger seed,571,398
Kharif,Onion,91,1706
Kharif,Ragi,5624,7272
Kharif,Rice,94336,131127
Kharif,Sesamum,16139,2050
Kharif,Small millets,4190,2349
Kharif,Urad,773,266
Rabi,Dry chillies,1946,2191
Rabi,Gram,93,178
Rabi,Groundnut,3626,2694
Rabi,Horse-gram,17987,6026
Rabi,Jowar,37,108
Rabi,Maize,5692,22580
Rabi,Moong(Green Gram),14680,5050
Rabi,Onion,416,8233
Rabi,Ragi,1184,1990
Rabi,Rice,3750,9529
Rabi,Sesamum,4274,1385
Rabi,Urad,10010,3704
Whole Year,Arecanut,10,8
Whole Year,Banana,5246,127446
Whole Year,Cashewnut,11686,3112
Whole Year,Coconut,3048,26596248
Whole Year,Dry ginger,14,39
Whole Year,Sugarcane,18077,893401
Whole Year,Sunflower,2,2
Whole Year,Sweet potato,38,368
Whole Year,Tapioca,76,627
Whole Year,Tobacco,1976,4462
Whole Year,Turmeric,110,690
Kharif,Arhar/Tur,1482,713
Kharif,Bajra,1609,1878
Kharif,Castor seed,2,1
Kharif,Cotton(lint),11062,11452
Kharif,Dry chillies,228,1026
Kharif,Groundnut,36733,32362
Kharif,Jowar,391,291
Kharif,Maize,2920,8903
Kharif,Mesta,46897,437705
Kharif,Moong(Green Gram),823,320
Kharif,Niger seed,502,303
Kharif,Onion,457,7663
Kharif,Ragi,4184,5468
Kharif,Rice,117452,281532
Kharif,Sesamum,14603,2570
Kharif,Small millets,2785,2014
Kharif,Urad,702,269
Rabi,Dry chillies,1881,3104
Rabi,Gram,165,315
Rabi,Groundnut,3550,5211
Rabi,Horse-gram,19884,9723
Rabi,Jowar,29,63
Rabi,Maize,8671,32100
Rabi,Moong(Green Gram),18605,8875
Rabi,Onion,398,4747
Rabi,Ragi,1410,2314
Rabi,Rice,1000,1803
Rabi,Sesamum,1523,442
Rabi,Urad,11557,5686
Whole Year,Arecanut,10,7
Whole Year,Banana,5137,103233
Whole Year,Cashewnut,11686,3083
Whole Year,Coconut,3048,39242347
Whole Year,Dry ginger,34,96
Whole Year,Sugarcane,20695,1141847
Whole Year,Sunflower,39,32
Whole Year,Sweet potato,38,410
Whole Year,Tapioca,69,732
Whole Year,Tobacco,1241,2688
Whole Year,Turmeric,155,911
Kharif,Arhar/Tur,2000,1000
Kharif,Bajra,2000,2000
Kharif,Cotton(lint),7000,7000
Kharif,Groundnut,33000,38000
Kharif,Jowar,1000,1000
Kharif,Maize,4000,15000
Kharif,Mesta,43000,404000
Kharif,Moong(Green Gram),1000,1000
Kharif,Ragi,3000,4000
Kharif,Rice,124000,362000
Kharif,Sesamum,25000,2000
Kharif,Small millets,3000,2000
Kharif,Urad,1000,1000
Rabi,Dry chillies,2000,2000
Rabi,Groundnut,3000,8000
Rabi,Horse-gram,17000,8000
Rabi,Maize,7000,30000
Rabi,Moong(Green Gram),19000,6000
Rabi,Ragi,2000,2000
Rabi,Rice,3000,7000
Rabi,Sesamum,5000,1000
Rabi,Urad,16000,7000
Whole Year,Sugarcane,22000,1246000
Whole Year,Tobacco,1000,2000
Kharif,Arhar/Tur,1878,896
Kharif,Bajra,1351,1374
Kharif,Castor seed,2,1
Kharif,Cotton(lint),6798,6358
Kharif,Dry chillies,296,1322
Kharif,Groundnut,34582,31815
Kharif,Jowar,501,1280
Kharif,Maize,7861,21964
Kharif,Mesta,27918,227532
Kharif,Moong(Green Gram),1863,734
Kharif,Niger seed,207,111
Kharif,Onion,215,3613
Kharif,Ragi,3472,2590
Kharif,Rice,128964,307966
Kharif,Sesamum,17262,1778
Kharif,Small millets,2246,1285
Kharif,Urad,1672,607
Rabi,Dry chillies,1507,1735
Rabi,Gram,214,373
Rabi,Groundnut,3649,8707
Rabi,Horse-gram,14920,4431
Rabi,Jowar,42,198
Rabi,Maize,7789,33765
Rabi,Moong(Green Gram),14514,4557
Rabi,Onion,321,3090
Rabi,Ragi,586,933
Rabi,Rice,1695,4043
Rabi,Sesamum,1737,207
Rabi,Urad,13338,7016
Whole Year,Arecanut,5,5
Whole Year,Banana,7735,135293
Whole Year,Cashewnut,14874,4344
Whole Year,Coconut,2992,27323308
Whole Year,Dry ginger,33,79
Whole Year,Sugarcane,15900,836945
Whole Year,Sunflower,54,55
Whole Year,Sweet potato,20,272
Whole Year,Tapioca,29,360
Whole Year,Tobacco,1806,4540
Whole Year,Turmeric,221,1519
Kharif,Arhar/Tur,1894,1254
Kharif,Bajra,846,890
Kharif,Castor seed,1,1
Kharif,Cotton(lint),8808,15129
Kharif,Dry chillies,269,1290
Kharif,Groundnut,27430,25455
Kharif,Jowar,440,519
Kharif,Maize,7618,29428
Kharif,Mesta,16496,129860
Kharif,Moong(Green Gram),1956,348
Kharif,Niger seed,106,48
Kharif,Onion,165,2672
Kharif,Ragi,2724,4195
Kharif,Rice,104550,229801
Kharif,Sesamum,10552,2712
Kharif,Small millets,1822,1474
Kharif,Urad,2022,596
Rabi,Arhar/Tur,120,79
Rabi,Bajra,5,5
Rabi,Dry chillies,1167,1549
Rabi,Gram,237,389
Rabi,Groundnut,4101,7046
Rabi,Horse-gram,13515,8177
Rabi,Jowar,5,17
Rabi,Maize,9471,34010
Rabi,Moong(Green Gram),17129,7091
Rabi,Onion,303,7694
Rabi,Other  Rabi pulses,5,1
Rabi,Ragi,745,944
Rabi,Rice,3683,9285
Rabi,Sesamum,8709,2081
Rabi,Urad,15759,7722
Whole Year,Arecanut,1,1
Whole Year,Banana,7755,145608
Whole Year,Cashewnut,16343,4864
Whole Year,Coconut,3154,35609532
Whole Year,Dry ginger,16,31
Whole Year,Sugarcane,12077,614676
Whole Year,Sunflower,41,40
Whole Year,Sweet potato,15,
Whole Year,Tapioca,5,65
Whole Year,Tobacco,1920,4250
Whole Year,Turmeric,192,1197
Kharif,Arhar/Tur,2460,1245
Kharif,Bajra,619,355
Kharif,Castor seed,17,7
Kharif,Cotton(lint),11463,10721
Kharif,Dry chillies,210,697
Kharif,Groundnut,22626,24097
Kharif,Jowar,454,657
Kharif,Maize,8265,22373
Kharif,Mesta,19001,174704
Kharif,Moong(Green Gram),1817,452
Kharif,Niger seed,114,64
Kharif,Onion,181,3594
Kharif,Ragi,2474,2360
Kharif,Rice,126290,325213
Kharif,Sesamum,9056,1069
Kharif,Small millets,1806,1461
Kharif,Urad,2075,876
Rabi,Dry chillies,1373,1157
Rabi,Gram,202,336
Rabi,Groundnut,3132,4203
Rabi,Horse-gram,11524,3803
Rabi,Maize,10721,46433
Rabi,Moong(Green Gram),17541,6245
Rabi,Onion,383,5001
Rabi,Ragi,797,1286
Rabi,Rapeseed &Mustard,5,12
Rabi,Rice,7254,23452
Rabi,Sesamum,6144,1831
Rabi,Urad,17475,7305
Whole Year,Banana,7835,167277
Whole Year,Cashewnut,16477,3948
Whole Year,Dry ginger,28,261
Whole Year,Ginger,28,261
Whole Year,Potato,2,22
Whole Year,Sugarcane,15208,972574
Whole Year,Sunflower,123,153
Whole Year,Sweet potato,35,448
Whole Year,Tapioca,16,105
Whole Year,Tobacco,1000,2964
Whole Year,Turmeric,224,1368
Kharif,Arhar/Tur,1401,743
Kharif,Bajra,146,113
Kharif,Castor seed,4,2
Kharif,Cotton(lint),11728,15798
Kharif,Dry chillies,148,563
Kharif,Groundnut,17056,20263
Kharif,Jowar,334,718
Kharif,Maize,10420,28176
Kharif,Mesta,19164,152247
Kharif,Moong(Green Gram),1547,903
Kharif,Niger seed,43,15
Kharif,Onion,120,1729
Kharif,other oilseeds,3533,80782
Kharif,Ragi,1387,720
Kharif,Rice,123491,265106
Kharif,Sesamum,12856,1543
Kharif,Small millets,300,133
Kharif,Urad,1783,893
Rabi,Dry chillies,1077,1670
Rabi,Gram,250,379
Rabi,Groundnut,2387,3535
Rabi,Horse-gram,9814,3150
Rabi,Jowar,13,61
Rabi,Maize,10199,63448
Rabi,Moong(Green Gram),14019,6995
Rabi,Onion,233,5965
Rabi,other oilseeds,43,15
Rabi,Ragi,601,686
Rabi,Rice,1078,2639
Rabi,Sesamum,6885,1838
Rabi,Urad,13409,7455
Whole Year,Arecanut,1,
Whole Year,Banana,7433,133645
Whole Year,Cashewnut,16430,4034
Whole Year,Coconut,2689,37657088
Whole Year,Dry ginger,5,46
Whole Year,Sugarcane,16185,1056677
Whole Year,Sunflower,63,65
Whole Year,Sweet potato,26,334
Whole Year,Tapioca,12,120
Whole Year,Tobacco,1344,2459
Whole Year,Turmeric,203,1524
Kharif,Arecanut,1,1
Kharif,Arhar/Tur,1787,1410
Kharif,Bajra,353,277
Kharif,Brinjal,673,5092
Kharif,Cabbage,101,2659
Kharif,Cashewnut,15374,4335
Kharif,Castor seed,1,1
Kharif,Cotton(lint),14658,29316
Kharif,Dry chillies,171,707
Kharif,Groundnut,11524,12400
Kharif,Jowar,647,1716
Kharif,Lemon,28,206
Kharif,Maize,9861,39267
Kharif,Mango,36067,100555
Kharif,Mesta,12243,110527
Kharif,Moong(Green Gram),870,389
Kharif,Onion,51,974
Kharif,Papaya,262,28540
Kharif,Pome Granet,5,67
Kharif,Ragi,2583,4236
Kharif,Rice,119079,306509
Kharif,Sapota,128,1690
Kharif,Sesamum,8845,1681
Kharif,Small millets,383,246
